"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
11157165,"23rd Street N.Y.N Brandy 700ml",7.66,2.8,2.8,0,0,21.45
11157166,"23rd Street Prime 5 Brandy 700ml",70.4,1,0.8,-0.2,-14.08,56.32
4124192,"Aberlour Abundah 700ml",123.95,0.94,0.8,-0.14,-16.86,99.16
2916823,"Absenteroux Vermoiuth LAbsinthe 750ml",0,0.3,0.3,0,0,0
4064169,"Aix Rose Btl",23.06,0,0,0,0,0
5137636,"Angostura 1919 Premium 700ml",64.93,0.16,0,-0.16,-10.26,0
2916827,"Angostura Bitters 200ml",19.01,4.2,4.2,0,0,79.84
9798876,"Angostura Orange Bitters 100ml",14.28,0.8,0,-0.8,-11.42,0
2916833,"Antica Formula Carpano Vermouth 1000ml",53.36,3.38,0.9,-2.48,-132.14,48.02
4124212,"Aperol 700ml",22.43,7.78,8.7,0.92,20.75,195.14
13382619,"Apple Juice",0,0,7.2,7.2,0,0
5362055,"Appleton Signature Btl",43.46,0.07,0,-0.07,-3.22,0
6074228,"Applewood Distillery Gin 500ml",56.72,0.5,0.5,0,0,28.36
13776809,"Archie Rose Bone Dry Gin 700ml Btl",81.03,1,0.85,-0.15,-12.15,68.88
4838832,"Archie Rose DS Gin 700ml",91.61,0.45,0.45,0,0,41.22
11076463,"Archie Rose Poormans Orange gin 700ml",81.03,0.5,0,-0.5,-40.52,0
11076467,"Archie Rose Rye Malt Whisky 700ml",108.25,0,0,0,0,0
11076473,"Archie Rose Syd Op/House INSIDE gin 700ml",91.29,0.22,0.25,0.03,3.1,22.82
11076475,"Archie Rose Syd Op/House OUTSIDE gin 700ml",91.29,0.25,0.3,0.05,4.75,27.39
4838859,"Archie Rose Vodka 700ml",62.44,1.3,0,-1.3,-81.17,0
5764633,"Archie Rose White Rye 700ml",73.36,2.8,2,-0.8,-58.69,146.72
12739916,"Aus. Distilling Freo Gin BTL",66.45,1.5,0.5,-1,-66.45,33.23
12638745,"Aus. Distilling Perth Gin BTL",66.45,0.5,0,-0.5,-33.23,0
11234181,"Avosh Vodka (House) 700ml",39.62,44.7,7.95,-36.75,-1456.04,314.98
12505397,"Azahara Sparkling Chardonnay Pinot NV BTL",94.08,-0.8,27.8,28.6,2690.69,2615.42
4124211,"Baileys 700ml",28.43,-0.01,0,0.01,0.28,0
2905571,"Ballantines Finest 700ml",37.47,1.69,0.85,-0.84,-31.59,31.85
4124193,"Balvenie 700ml",90.76,0,0,0,0,0
6034866,"Bandini Prosecco NV Btl",12.77,38.1,27.7,-10.4,-132.81,353.73
13530718,"Beerfarm Cider 50L Keg",262.16,7,1,-6,-1572.96,262.16
12338688,"Benromach 10 YO 700ml",79.2,2,0.9,-1.1,-87.12,71.28
14029078,"Bentspoke Descent '21 Imperial Stout 375ml Can",7.01,23,23,0,0,161.23
12680021,"Bentspoke How's It Gose'n 375mL",3.8,2,2,0,0,7.6
13496196,"Black Gate Tawny Rum 700mL BTL",81.2,1,1,0,0,81.2
13496449,"Blasta Lager 50L Keg",261.93,18,2.2,-15.8,-4138.49,576.25
13007585,"Boatrocker Holy Diver Keg",445.5,0.2,0,-0.2,-89.1,0
10029809,"Boatrocker Raspberry Gin 700ml",66.35,0,0,0,0,0
12482012,"Bombak Citrus 700ml",67.1,0.8,0.45,-0.35,-23.49,30.2
12482010,"Bombak Flora 700ml",67.1,0.8,0.8,0,0,53.68
3878393,"Boon Geuze Mariage Parfait lambic 375ml",9.62,3,3,0,0,28.86
11916139,"Boon Schaarbeekse Oude Kriek 375ml",11.83,6,6,0,0,70.98
5791420,"Boston Afterglose 375ml Can",3.75,17,17,0,0,63.75
4005914,"Boston Tingletop Gingerbeer 375ml",3.85,4,4,0,0,15.4
3846571,"Bowen Estate Cab Sauv Btl",23.09,4,4,0,0,92.36
13657736,"Break Free Petit Blancs 2021 BTL",16.08,33,25,-8,-128.64,402
5698823,"Buffalo Trace Bourbon 700ml",55.1,1.59,0.9,-0.69,-38.01,49.59
6630829,"Buffalo trace Bourbon Cream 750ml",44,0.5,0.5,0,0,22
9879011,"Bundaberg Ginger Beer 250ml",1.17,78,60,-18,-21.06,70.2
10966200,"Bushmill 10YO Irish Whiskey 700ml",62.26,0.53,0.5,-0.03,-1.79,31.13
5698813,"Calle 23 Tequila Blanco 750ml",56.1,2.88,2.9,0.02,1.12,162.69
2916815,"Campari Aperitif 700ml",34.9,8,3.45,-4.55,-158.89,120.41
2916814,"Campo De Encanto Pisco 750ml",67.44,2.9,2.9,0,0,195.58
10966163,"Canadian Club 1000ml",54.17,1.86,2.2,0.34,18.42,119.17
2905526,"Capi Tonic Water 250ml",1.69,27,66,39,65.91,111.54
5006814,"Casamigos Tequila 700ml",78.43,1.13,1.2,0.07,5.58,94.12
6405083,"Cascade Can Soda Water 200ml",1.22,752,115,-637,-777.14,140.3
9879002,"Cascade Ginger Ale 200ml",1.22,193,140,-53,-64.66,170.8
3846567,"Castelli Il Liris Chard Btl",45.32,1,1,0,0,45.32
4328498,"Centinela Anejo 700ml",79.26,0.37,0.37,-0,-0.32,29.33
4328496,"Centinela Blanco 700ml",67.91,0.25,0.4,0.15,10.32,27.16
5570460,"Chambord 500ml",36.91,1.1,1,-0.1,-3.69,36.91
5377543,"Chartreuse Yellow 700ml",69.08,1.3,1.3,0,0,89.8
13442633,"Cheeky Monkey '21 Silverback Stout 750mL",22,-2,3,5,110,66
13715961,"Cheeky Monkey Choc Full Pasrty Stout 750ml",15.3,5,5,0,0,76.5
13580035,"Cheeky Monkey Kolsch 50L Keg",231,12,3.1,-8.9,-2055.9,716.1
13715946,"Cheeky Monkey Pastry Sour 375ml",7.56,6,5,-1,-7.56,37.8
13776724,"Cheeky Monkey Windmills 50L Keg",324.5,0,0,0,0,0
4787469,"Coca Cola 250ml",1.83,325.5,120,-205.5,-376.07,219.6
10966176,"Cocchi Di Torino Vermouth 700ml",53.83,0.3,0.3,0,0,16.15
5029402,"Cointreau 700ml",53.2,1.54,0.3,-1.24,-66.07,15.96
9723695,"Coke No Sugar 375ml",1.51,62,72,10,15.1,108.72
8730889,"Colonial Bertie Cider 50L",231,0.13,0,-0.13,-29.98,0
8700377,"Colonial Draught can 375ml",2.4,6,6,0,0,14.4
8730885,"Colonial Pale Ale 50L",147,2.44,0,-2.44,-358.71,0
9662242,"Colonial Southwest Sour 375ml",2.97,6,6,0,0,17.82
11454932,"Copper Fix Sassy Rye SM 750ml",126.5,0.9,0.9,0,0,113.85
11454927,"Copper Fox Peachwood SM 750ml",126.5,0.75,0.9,0.15,18.98,113.85
12976180,"Copperfox Peachwood 30ml",0,0,0,0,0,0
12638764,"Cranberry Ocean Spray 1500mL",5.88,15.4,8,-7.4,-43.51,47.04
6825958,"Crawleys Real Falernum Syrup 700ml",21.89,1.1,0.8,-0.3,-6.57,17.51
8171369,"Credaro Kinship Cab Sauv BTL",15.13,6.29,9,2.71,41,136.17
12202812,"Dead Mans Finger Coconut rum 700ml",40.49,3.65,1.3,-2.35,-95.15,52.64
6964177,"DeKuyper Blue Curacao 500ml",26.2,0.35,0.35,0,0,9.17
5132942,"Del Maguey Mezcal Vida 750ml",73.7,0.64,0.64,0,0,47.17
5251857,"Diet Coke 200ml",1.22,51,0,-51,-62.22,0
12417829,"Diplomatico Reserva Rum 700ml",79.7,1.45,0.15,-1.3,-103.61,11.96
5137720,"Dolin Blanc Vermouth 700ml",22.58,0.6,0.6,0,0,13.55
5137716,"Dolin Dry vermouth 700ml",22.84,1,1,0,0,22.84
5137717,"Dolin Rouge Vermouth 700ml",21.01,0.95,0.95,0,0,19.96
2905490,"Eagle Bay Kolsch 50L Keg",0,-0.91,0,0.91,0,0
13579976,"English Harbour  5YO Rum - 30mL",61.76,-9,0,9,555.84,0
13579979,"English Harbour  5YO Rum - 60mL",61.76,-4,0,4,247.04,0
13580172,"English Harbour 5YO 700ml BTL",61.77,1,0.45,-0.55,-33.97,27.8
4328518,"Ezra Brooks 700ml",49.76,6,11.5,5.5,273.63,572.24
10966187,"Fee Bros Cherry bitters",20.27,1.9,1.1,-0.8,-16.22,22.3
4787444,"Fee Bros Grapefruit",20.22,1,0.8,-0.2,-4.04,16.18
5308122,"Fernet Branca Amaro 700ml",59.69,0.76,0.7,-0.06,-3.82,41.78
8763423,"Four Pillars Chardonnay Barrel Gin 500ml",65.73,0.04,0,-0.04,-2.64,0
7961558,"Four Pillars Modern Aus 700ml",68.2,0,0,0,0,0
12417649,"Four Pillars Olive Leaf 700ml",77.01,0.8,0.48,-0.32,-24.64,36.96
5698820,"Four Pillars Rare Dry 700ml",59.97,0.99,1.2,0.21,12.59,71.96
8731078,"Frangelico 700ml",39.86,0.38,0.3,-0.08,-3.19,11.96
5057160,"Germana Cachaca (white) 700ml",0,0.85,0.85,0,0,0
9461020,"Giffard Agave Syrup",19.28,6,1.3,-4.7,-90.62,25.06
11915350,"Giffard Amaretto 700ml",40.67,2.2,1,-1.2,-48.8,40.67
10882537,"Giffard Apricot Brandy 700ml",40.66,3.2,0,-3.2,-130.11,0
12202823,"Giffard Banana 700ml",21.53,1,1,0,0,21.53
10966196,"Giffard Coffee Liqueur 700ml",39.04,9.4,6,-3.4,-132.74,234.24
10882536,"Giffard Elderflower Liquer 700ml",48.35,0,0,0,0,0
12596512,"Giffard Elderflower Syrup 700ml",25.7,3.25,2.8,-0.45,-11.57,71.96
13776838,"Giffard Falernum 1L",19.28,1,0.9,-0.1,-1.93,17.35
11612501,"Giffard Grenadine 700ml",0,1.5,0.8,-0.7,-0,0
10717040,"Giffard Passionfruit Liquer 700ml",38.95,2,2.2,0.2,7.79,85.69
10882540,"Giffard Passionfruit SYRUP 1L",19.28,2,1.5,-0.5,-9.64,28.92
