"ProductName","Cost","Qty","TotalCost"
"23rd Street N.Y.N Brandy 700ml",7.66,2.8,21.46
"23rd Street Prime 5 Brandy 700ml",70.4,0.8,56.32
"Aberlour Abundah 700ml",123.95,0.8,99.16
"Absenteroux Vermoiuth LAbsinthe 750ml",0,0.3,0
"Aix Rose Btl",23.06,0,0
"Angostura 1919 Premium 700ml",64.93,0,0
"Angostura Bitters 200ml",19.02,4.2,79.86
"Angostura Orange Bitters 100ml",14.28,0,0
"Antica Formula Carpano Vermouth 1000ml",53.36,0.9,48.02
"Aperol 700ml",22.44,8.7,195.21
"Apple Juice",0,7.2,0
"Appleton Signature Btl",43.46,0,0
"Applewood Distillery Gin 500ml",56.72,0.5,28.36
"Archie Rose Bone Dry Gin 700ml Btl",81.03,0.85,68.88
"Archie Rose DS Gin 700ml",91.61,0.45,41.22
"Archie Rose Poormans Orange gin 700ml",81.03,0,0
"Archie Rose Rye Malt Whisky 700ml",108.25,0,0
"Archie Rose Syd Op/House INSIDE gin 700ml",91.29,0.25,22.82
"Archie Rose Syd Op/House OUTSIDE gin 700ml",91.29,0.3,27.39
"Archie Rose Vodka 700ml",62.45,0,0
"Archie Rose White Rye 700ml",73.36,2,146.72
"Aus. Distilling Freo Gin BTL",66.45,0.5,33.23
"Aus. Distilling Perth Gin BTL",66.45,0,0
"Avosh Vodka (House) 700ml",39.62,7.95,315.01
"Azahara Sparkling Chardonnay Pinot NV BTL",94.08,26.8,2521.34
"Baileys 700ml",28.44,0,0
"Ballantines Finest 700ml",37.47,0.77,28.7
"Balvenie 700ml",90.77,0,0
"Bandini Prosecco NV Btl",12.77,27.7,353.75
"Beerfarm Cider 50L Keg",262.17,1,262.17
"Benromach 10 YO 700ml",79.2,0.9,71.28
"Bentspoke Descent '21 Imperial Stout 375ml Can",7.01,23,161.29
"Bentspoke How's It Gose'n 375mL",3.8,2,7.61
"Black Gate Tawny Rum 700mL BTL",81.2,1,81.2
"Blasta Lager 50L Keg",261.94,2.2,576.26
"Boatrocker Holy Diver Keg",445.5,0,0
"Boatrocker Raspberry Gin 700ml",66.35,0,0
"Bombak Citrus 700ml",67.1,0.45,30.2
"Bombak Flora 700ml",67.1,0.8,53.68
"Boon Geuze Mariage Parfait lambic 375ml",9.63,3,28.88
"Boon Schaarbeekse Oude Kriek 375ml",11.83,6,70.98
"Boston Afterglose 375ml Can",3.76,17,63.89
"Boston Tingletop Gingerbeer 375ml",3.85,4,15.4
"Bowen Estate Cab Sauv Btl",23.09,4,92.38
"Break Free Petit Blancs 2021 BTL",16.08,25,402.05
"Buffalo Trace Bourbon 700ml",55.1,0.9,49.59
"Buffalo trace Bourbon Cream 750ml",44,0.5,22
"Bundaberg Ginger Beer 250ml",1.18,60,70.73
"Bushmill 10YO Irish Whiskey 700ml",62.26,0.5,31.13
"Buttermilk Chicken Bites w/ aioli",0,-164.5,0
"Calle 23 Tequila Blanco 750ml",56.1,2.9,162.69
"Campari Aperitif 700ml",34.9,3.45,120.41
"Campo De Encanto Pisco 750ml",67.44,2.9,195.58
"Canadian Club 1000ml",54.17,2.2,119.18
"Capi Tonic Water 250ml",1.7,66,112.06
"Casamigos Tequila 700ml",78.43,1.2,94.12
"Cascade Can Soda Water 200ml",1.22,113,138.39
"Cascade Ginger Ale 200ml",1.22,140,171.44
"Castelli Il Liris Chard Btl",45.32,1,45.32
"Centinela Anejo 700ml",79.26,0.37,29.33
"Centinela Blanco 700ml",67.91,0.4,27.16
"Chambord 500ml",36.91,1,36.91
"Chartreuse Yellow 700ml",69.09,1.3,89.81
"Cheeky Monkey '21 Silverback Stout 750mL",22,3,66
"Cheeky Monkey Choc Full Pasrty Stout 750ml",15.31,5,76.54
"Cheeky Monkey Kolsch 50L Keg",231,3.1,716.1
"Cheeky Monkey Pastry Sour 375ml",7.56,5,37.81
"Cheeky Monkey Windmills 50L Keg",324.5,0,0
"Coca Cola 250ml",1.84,118,216.83
"Cocchi Di Torino Vermouth 700ml",53.83,0.3,16.15
"Cointreau 700ml",53.2,0.3,15.96
"Coke No Sugar 375ml",1.52,71,107.66
"Colonial Bertie Cider 50L",231,0,0
"Colonial Draught can 375ml",2.41,6,14.44
"Colonial Pale Ale 50L",147,0,0
"Colonial Southwest Sour 375ml",2.98,6,17.88
"Copper Fix Sassy Rye SM 750ml",126.5,0.9,113.85
"Copper Fox Peachwood SM 750ml",126.5,0.9,113.85
"Copperfox Peachwood 30ml",0,0,0
"Cranberry Ocean Spray 1500mL",5.89,8,47.11
"Crawleys Real Falernum Syrup 700ml",21.89,0.8,17.51
"Credaro Kinship Cab Sauv BTL",15.14,8.79,133.05
"Dead Mans Finger Coconut rum 700ml",40.5,1.3,52.65
"DeKuyper Blue Curacao 500ml",26.2,0.35,9.17
"Del Maguey Mezcal Vida 750ml",73.7,0.64,47.17
"Diet Coke 200ml",1.22,0,0
"Diplomatico Reserva Rum 700ml",79.7,0.15,11.96
"Dolin Blanc Vermouth 700ml",22.58,0.6,13.55
"Dolin Dry vermouth 700ml",22.84,1,22.84
"Dolin Rouge Vermouth 700ml",21.01,0.95,19.96
"Eagle Bay Kolsch 50L Keg",0,0,0
"English Harbour  5YO Rum - 30mL",61.77,0,0
"English Harbour  5YO Rum - 60mL",61.77,0,0
"English Harbour 5YO 700ml BTL",61.77,0.45,27.8
"Ezra Brooks 700ml",49.76,11.5,572.28
"Fee Bros Cherry bitters",20.27,1.1,22.3
"Fee Bros Grapefruit",20.22,0.8,16.18
"Fernet Branca Amaro 700ml",59.69,0.7,41.78
"Four Pillars Chardonnay Barrel Gin 500ml",65.73,0,0
"Four Pillars Modern Aus 700ml",68.2,0,0
"Four Pillars Olive Leaf 700ml",77.01,0.48,36.96
"Four Pillars Rare Dry 700ml",59.97,1.2,71.96
"Frangelico 700ml",39.86,0.3,11.96
"Garlic Aioli",0,-105,0
"Germana Cachaca (white) 700ml",0,0.85,0
"Giffard Agave Syrup",19.28,1.3,25.06
"Giffard Amaretto 700ml",40.67,1,40.67
"Giffard Apricot Brandy 700ml",40.67,0,0
"Giffard Banana 700ml",21.53,1,21.53
"Giffard Coffee Liqueur 700ml",39.04,6,234.25
"Giffard Elderflower Liquer 700ml",48.36,0,0
"Giffard Elderflower Syrup 700ml",25.71,2.8,71.98
"Giffard Falernum 1L",19.28,0.9,17.35
"Giffard Grenadine 700ml",0,0.8,0
"Giffard Passionfruit Liquer 700ml",38.96,2.2,85.7
"Giffard Passionfruit SYRUP 1L",19.28,1.5,28.92
"Giffard Peach Liquer 700ml",42.4,2,84.79
"Giffard Pineapple 1000ml",21.53,0.5,10.77
"Giffard Pistachio 1000ml",21.53,0.2,4.31
"Giffard Rhubarb 700ml",40.67,2.5,101.66
"Giffard Strawberry 1000ml",19.28,0.5,9.64
"Giffard Syrup Elderflower",19.28,2.5,48.2
"Gift Card",0,-4,0
"Giniversity Botanical Gin 500ml btl",51.66,0.5,25.83
"Giniversity London Dry Gin 500ml Btl",46.66,0.2,9.33
"Giniversity Pink Gin 700ml",51.67,0.95,49.09
"Giniversity Smoked Hemp gin 500ml",49.17,0.95,46.71
"Glendronach 12YO 700ml",87.97,0.28,24.63
"Glenfiddich 12YO 700ml",76.76,1.2,92.11
"Glenkinchie 12 yo 700ml",96.94,0,0
"Glenlivet 18YO 700ml",0,0,0
"Glenmorangie 18yo EX Rare 700ml",122.83,0,0
"Goslings Black Seal Rum Btl",58.76,1,58.76
"Grand Marnier 700ml",64.17,1,64.17
"Havana Club Anejo 3 White 700ml Btl",42.25,7.8,329.51
"Havana Club Anejo 7 Anos 700ml",61.43,0.5,30.72
"Havana Club Anejo Especial 700ml",50.28,0,0
"Heaps Normal Quiet  XPA 355ml",2.52,33,83.19
"Hendricks 700ml",76.9,1.5,115.35
"Hendricks Midsummer Solstice 700ml",78.91,1.6,126.25
"Hippocampus Vodka 700ml",0,0,0
"Ilegal Mezcal Reposado 750ml",101.2,0.35,35.42
"In Dreams Chardonnay BTL",14.71,22,323.69
"Irishman Single Malt 700ml",74.64,0.66,49.26
